Id,Imię,Nazwisko,Stypendium,Rok,Kierunek,Miasto,Ulica
46,Gabriela,Mikulski,false,3,Mikroelektronika w technice i medycynie,Kielce,Mikołaja Kopernika
47,Irena,Marciniak,false,4,Automatyka i Robotyka,Poznań,Stanisława Małachowskiego
48,Ilona,Nowicki,false,2,Elektrotechnika,Kraków,Juliusza Słowackiego
49,Irena,Krupiński,false,5,Informatyka,Szczecin,11 Listopada
50,Łukasz,Gawroński,false,2,Informatyka,Warszawa,Kamienna
51,Mirosław,Kowalczyk,false,3,Elektrotechnika,Bydgoszcz,Stanisława Małachowskiego
52,Celina,Czech,false,5,Inżynieria Biomedyczna,Gdańsk,Ogrodowa
53,Paulina,Zaborowski,true,5,Informatyka,Lublin,11 Listopada
54,Zofia,Bartczak,true,4,Automatyka i Robotyka,Poznań,Mostowa
55,Julia,Rakowski,true,5,Informatyka,Bydgoszcz,Zamkowa
56,Julia,Marciniak,false,2,Automatyka i Robotyka,Kielce,1 Maja
57,Rachela,Matusiak,false,4,Mikroelektronika w technice i medycynie,Kielce,Francuska
58,Maja,Rybak,true,2,Elektrotechnika,Gdańsk,Wawelska
59,Elwira,Rogowski,true,4,Elektrotechnika,Poznań,Juliana Tuwima
60,Sabina,Pluta,false,4,Inżynieria Biomedyczna,Bydgoszcz,Piękna
61,Fabian,Jasiński,false,4,Informatyka,Kraków,Świętojańska
62,Maurycy,Gołębiowski,true,3,Elektrotechnika,Katowice,Toruńska
63,Faustyna,Burzyński,false,5,Elektrotechnika,Gdańsk,Wawelska
64,Wiesław,Cybulski,false,3,Automatyka i Robotyka,Bydgoszcz,Ciasna
65,Edmund,Mielczarek,false,3,Automatyka i Robotyka,Lublin,Siemianowicka
66,Stefan,Dubiel,false,3,Elektrotechnika,Warszawa,Toruńska
67,Magda,Czyżewski,false,5,Mikroelektronika w technice i medycynie,Poznań,Grodzka
68,Ewa,Borowski,false,4,Informatyka,Kraków,Mikołowska
69,Piotr,Malec,true,1,Inżynieria Biomedyczna,Kraków,Niestachowska
70,Marcin,Zawadzki,false,1,Mikroelektronika w technice i medycynie,Kielce,Andrzeja Struga
71,Bruno,Dominiak,false,3,Informatyka,Kraków,Francuska
72,Waldemar,Wojciechowski,true,5,Mikroelektronika w technice i medycynie,Warszawa,Fabryczna
73,Wiktor,Marczak,false,2,Informatyka,Lublin,Strzelecka
74,Przemysław,Pawlak,false,1,Automatyka i Robotyka,Bydgoszcz,Bankowa
75,Ludwik,Jarosz,false,5,Elektrotechnika,Poznań,Ogrodowa
76,Monika,Tomaszewski,false,5,Automatyka i Robotyka,Bydgoszcz,Mikołaja Kopernika
77,Radosław,Stasiak,true,5,Inżynieria Biomedyczna,Lublin,Juliana Tuwima
78,Leon,Piórkowski,false,4,Automatyka i Robotyka,Kielce,Henryka Dąbrowskiego
79,Justyna,Gajda,false,5,Automatyka i Robotyka,Wrocław,Szeroka
80,Kornel,Pakuła,true,4,Inżynieria Biomedyczna,Kielce,Ignacego Paderewskiego
81,Kalina,Stefaniak,false,1,Automatyka i Robotyka,Kraków,Poznańska
82,Zbigniew,Kaczmarski,false,2,Elektrotechnika,Poznań,Dworcowa
83,Włodzimierz,Czechowski,false,3,Elektrotechnika,Kraków,Katedralna
84,Martyna,Twardowski,false,2,Inżynieria Biomedyczna,Wrocław,Bankowa
85,Iza,Zaborowski,false,3,Inżynieria Biomedyczna,Kraków,Toruńska
86,Ewa,Andrzejewski,false,2,Elektrotechnika,Gdańsk,Juliana Tuwima
87,Grażyna,Pluta,false,2,Mikroelektronika w technice i medycynie,Wrocław,Aleksandra Fredry
88,Gaweł,Bartczak,false,2,Automatyka i Robotyka,Poznań,Aleja Wolności
89,Waldemar,Piekarski,false,2,Mikroelektronika w technice i medycynie,Kielce,Ciasna
90,Damian,Czyż,false,5,Inżynieria Biomedyczna,Poznań,Miodowa
91,Leon,Pawlak,true,5,Informatyka,Poznań,Krakowskie Przedmieście
92,Albert,Bednarz,false,1,Informatyka,Lublin,Krupnicza
93,Martyna,Urbańczyk,true,4,Informatyka,Katowice,Ignacego Paderewskiego
94,Felicja,Mika,false,4,Mikroelektronika w technice i medycynie,Lublin,Szewska
95,Bolesław,Muszyński,false,4,Mikroelektronika w technice i medycynie,Kraków,Mariacka
96,Gertruda,Panek,true,4,Inżynieria Biomedyczna,Bydgoszcz,Okopowa
97,Przemysław,Nowicki,false,3,Mikroelektronika w technice i medycynie,Wrocław,Grabarska
98,Martyna,Wilczek,false,2,Informatyka,Warszawa,Niestachowska
99,Izydor,Socha,false,3,Informatyka,Szczecin,Senatorska
100,Walentyna,Szymczak,false,1,Elektrotechnika,Warszawa,Zamkowa
101,Jadwiga,Stankiewicz,false,1,Elektrotechnika,Kielce,Strzelecka
102,Dominik,Drozdowski,false,2,Elektrotechnika,Bydgoszcz,Oświęcimska
103,Luiza,Mroczek,false,1,Inżynieria Biomedyczna,Katowice,Senatorska
104,Judyta,Błaszczyk,false,5,Elektrotechnika,Kielce,Zdrowa
105,Andżelika,Kuś,false,1,Inżynieria Biomedyczna,Kraków,Karola Świerczewskiego
106,Zbigniew,Milewski,true,2,Inżynieria Biomedyczna,Bydgoszcz,Oświęcimska
107,Irena,Kot,false,4,Elektrotechnika,Gdańsk,Bolesława Prusa
108,Konrad,Krupiński,false,1,Informatyka,Szczecin,Obornicka
109,Maurycy,Stępień,false,2,Automatyka i Robotyka,Wrocław,Zachodnia
110,Albert,Skrzypek,false,4,Informatyka,Warszawa,1 Maja
111,Albert,Kubicki,false,3,Informatyka,Gdańsk,Piotra Skargi
112,Robert,Nowicki,false,5,Automatyka i Robotyka,Lublin,Zdrowa
113,Michał,Antczak,false,1,Elektrotechnika,Poznań,Kijowska
114,Zygmunt,Kalinowski,false,3,Automatyka i Robotyka,Kraków,Świętojańska
115,Luiza,Matuszewski,false,1,Mikroelektronika w technice i medycynie,Gdańsk,Wita Stwosza
116,Krystyna,Przybysz,false,4,Elektrotechnika,Warszawa,Towarowa
117,Dagmara,Kaczmarski,false,5,Informatyka,Kraków,Kijowska
118,Marzena,Biernat,false,1,Elektrotechnika,Szczecin,Grunwaldzka
119,Patryk,Kubacki,false,2,Mikroelektronika w technice i medycynie,Szczecin,Krupnicza
120,Julia,Kuś,false,2,Mikroelektronika w technice i medycynie,Gdańsk,Karmelicka
121,Włodzimierz,Gąsiorowski,false,1,Inżynieria Biomedyczna,Katowice,Legionów
122,Dorota,Pietras,true,1,Elektrotechnika,Gdańsk,Aleja Wolności
123,Martyna,Łukasik,false,4,Mikroelektronika w technice i medycynie,Warszawa,Mostowa
124,Mikołaj,Kubik,false,3,Mikroelektronika w technice i medycynie,Szczecin,Bracka
125,Albert,Lach,false,2,Elektrotechnika,Warszawa,Franciszkańska
126,Andżelika,Piasecki,false,5,Mikroelektronika w technice i medycynie,Katowice,Juliana Tuwima
127,Bolesław,Krzemiński,false,5,Inżynieria Biomedyczna,Kielce,Katedralna
128,Tytus,Skibiński,false,1,Automatyka i Robotyka,Wrocław,Adama Mickiewicza
129,Gertruda,Czyżewski,false,3,Automatyka i Robotyka,Kraków,Gnieźnieńska
130,Arkadiusz,Grzyb,false,4,Inżynieria Biomedyczna,Lublin,Legionów
131,Gertruda,Jarosz,false,3,Automatyka i Robotyka,Wrocław,Oświęcimska
132,Wilma,Mikulski,true,3,Elektrotechnika,Gdańsk,Senatorska
133,Bruno,Kostrzewa,false,2,Mikroelektronika w technice i medycynie,Kielce,Kolejowa
134,Horacy,Pawlik,false,2,Inżynieria Biomedyczna,Bydgoszcz,1 Maja
135,Michał,Zawadzki,false,1,Elektrotechnika,Szczecin,Zdrowa
136,Leon,Wilczyński,false,4,Automatyka i Robotyka,Szczecin,Lubelska
137,Nikola,Leśniak,false,1,Automatyka i Robotyka,Bydgoszcz,Obornicka
138,Martyna,Zaborowski,true,2,Inżynieria Biomedyczna,Kraków,Brzeska
139,Janusz,Sikora,false,1,Elektrotechnika,Gdańsk,Obornicka
140,Iza,Cygan,false,3,Inżynieria Biomedyczna,Katowice,Kolejowa
141,Kamila,Bieniek,false,1,Elektrotechnika,Warszawa,Zachodnia
142,Karolina,Głowacki,false,1,Informatyka,Bydgoszcz,Świętojańska
143,Piotr,Kaźmierczak,true,4,Automatyka i Robotyka,Bydgoszcz,3 Maja
144,Jeremiasz,Świątek,false,1,Elektrotechnika,Bydgoszcz,Nowowiejska
145,Gertruda,Różański,false,2,Mikroelektronika w technice i medycynie,Warszawa,Okopowa
146,Janina,Cichocki,false,3,Mikroelektronika w technice i medycynie,Poznań,Gdańska
147,Hieronim,Juszczak,false,1,Automatyka i Robotyka,Gdańsk,Janusza Korczaka
148,Kamila,Pakuła,false,3,Mikroelektronika w technice i medycynie,Lublin,Zachodnia
149,Rafał,Ostrowski,true,2,Mikroelektronika w technice i medycynie,Gdańsk,Francuska
150,Felicja,Wysocki,false,2,Inżynieria Biomedyczna,Poznań,Gabriela Narutowicza
151,Oleg,Rogowski,false,4,Inżynieria Biomedyczna,Wrocław,Krakowska
152,Edyta,Lach,false,1,Informatyka,Lublin,Wawelska
153,Jolanta,Kowalewski,true,5,Informatyka,Lublin,Władysława Reymonta
154,Leokadia,Czechowski,false,2,Elektrotechnika,Kielce,Henryka Sienkiewicza
155,Edmund,Rosiński,false,5,Informatyka,Lublin,Bolesława Prusa
156,Celina,Grzegorczyk,true,3,Elektrotechnika,Kraków,Hallera
157,Kornel,Kamiński,false,5,Mikroelektronika w technice i medycynie,Katowice,Chłodna
158,Edyta,Markiewicz,false,2,Elektrotechnika,Lublin,Ogrodowa
159,Gertruda,Malinowski,false,3,Informatyka,Szczecin,Królowej Jadwigi
160,Łukasz,Drozdowski,false,4,Automatyka i Robotyka,Wrocław,Hrubieszowska
161,Samanta,Karwowski,true,5,Automatyka i Robotyka,Warszawa,Łódzka
162,Róża,Stefański,false,1,Inżynieria Biomedyczna,Bydgoszcz,Ciasna
163,Halina,Szulc,false,5,Inżynieria Biomedyczna,Warszawa,Aleja Wolności
164,Filip,Głowacki,false,3,Mikroelektronika w technice i medycynie,Szczecin,Starowiejska
165,Ada,Banach,false,5,Inżynieria Biomedyczna,Bydgoszcz,Aleja Wolności
166,Kornel,Krupiński,false,2,Elektrotechnika,Poznań,Katowicka
167,Teresa,Białas,false,4,Informatyka,Katowice,Kolejowa
168,Łucja,Kowalczyk,true,3,Informatyka,Poznań,Dworcowa
169,Agnieszka,Jastrzębski,false,5,Mikroelektronika w technice i medycynie,Kielce,Krupnicza
170,Zofia,Kaczorowski,false,2,Elektrotechnika,Poznań,Wincentego Witosa
171,Zenon,Staniszewski,true,4,Automatyka i Robotyka,Wrocław,Opolska
172,Oskar,Bartczak,false,1,Automatyka i Robotyka,Kraków,1 Maja
173,Walentyna,Piórkowski,false,4,Mikroelektronika w technice i medycynie,Kraków,Browarna
174,Mirosław,Borowski,false,2,Mikroelektronika w technice i medycynie,Warszawa,Fabryczna
175,Stefan,Kostrzewa,false,5,Inżynieria Biomedyczna,Poznań,Toruńska
176,Justyna,Augustyniak,false,3,Mikroelektronika w technice i medycynie,Warszawa,Młyńska
177,Szymon,Gajewski,true,5,Automatyka i Robotyka,Poznań,Ignacego Paderewskiego
178,Krzysztof,Bartkowiak,false,4,Mikroelektronika w technice i medycynie,Katowice,Akademicka
179,Feliks,Ziółkowski,false,1,Elektrotechnika,Katowice,Grodzka
180,Łucja,Ratajczak,false,3,Informatyka,Kraków,ALeja Solidarności
181,Gustaw,Dziedzic,false,5,Informatyka,Bydgoszcz,Aleja Wolności
182,Bartosz,Wroński,true,3,Inżynieria Biomedyczna,Szczecin,Szpitalna
183,Dawid,Pawelec,false,1,Informatyka,Kraków,Zdrowa
184,Danuta,Cholewa,false,2,Mikroelektronika w technice i medycynie,Warszawa,Juliana Tuwima
185,Leon,Mazurkiewicz,true,4,Elektrotechnika,Wrocław,Królowej Jadwigi
186,Bogdan,Zych,false,4,Elektrotechnika,Kielce,Bolesława Leśmiana
187,Samanta,Sroka,false,1,Inżynieria Biomedyczna,Gdańsk,Armii Krajowej
188,Zygmunt,Kowalewski,false,4,Mikroelektronika w technice i medycynie,Kraków,Zdrowa
189,Fryderyk,Czajkowski,false,5,Mikroelektronika w technice i medycynie,Szczecin,Katowicka
190,Albert,Wolski,false,2,Elektrotechnika,Lublin,Fabryczna
191,Kamil,Brzeziński,false,2,Automatyka i Robotyka,Szczecin,Śląska
192,Faustyna,Urbański,false,5,Mikroelektronika w technice i medycynie,Gdańsk,Grodzka
193,Urszula,Zych,true,2,Inżynieria Biomedyczna,Warszawa,Zamkowa
194,Bogumiła,Czaja,true,3,Automatyka i Robotyka,Warszawa,Świętojańska
195,Mirosław,Szydłowski,false,5,Elektrotechnika,Kielce,Floriańska
196,Rachela,Krysiak,false,1,Elektrotechnika,Kraków,Jacka Malczewskiego
197,Edyta,Kołodziej,false,5,Automatyka i Robotyka,Kraków,Łódzka
198,Zenobia,Kucharczyk,false,2,Inżynieria Biomedyczna,Kraków,Zachodnia
199,Gabriel,Augustyniak,true,1,Automatyka i Robotyka,Szczecin,Katowicka
200,Oktawia,Zakrzewski,false,5,Elektrotechnika,Kraków,Szpitalna
201,Faustyna,Dubiel,true,5,Informatyka,Lublin,1 Maja
202,Urszula,Domagała,false,5,Elektrotechnika,Kraków,Jagiellońska
203,Oskar,Stachowiak,false,3,Automatyka i Robotyka,Gdańsk,Francuska
204,Oktawia,Wojtczak,false,2,Informatyka,Kielce,Kolejowa
205,Hanna,Rybak,false,3,Informatyka,Kraków,Królowej Jadwigi
206,Józef,Niemiec,true,2,Elektrotechnika,Lublin,Bielska
207,Wilma,Skiba,false,3,Inżynieria Biomedyczna,Bydgoszcz,Chmielna
208,Ada,Marcinkowski,false,2,Mikroelektronika w technice i medycynie,Katowice,Kazimierza Pułaskiego
209,Zofia,Stec,true,3,Elektrotechnika,Szczecin,Boh.Monte Cassino
210,Mariola,Jagiełło,false,3,Automatyka i Robotyka,Kraków,Obozowa
211,Hanna,Drozd,true,2,Automatyka i Robotyka,Bydgoszcz,Racławicka
212,Kalina,Andrzejewski,false,5,Informatyka,Gdańsk,Pocztowa
213,Edyta,Sikora,true,1,Automatyka i Robotyka,Wrocław,Jagiellońska
214,Regina,Cieśla,false,2,Informatyka,Bydgoszcz,Bankowa
215,Barbara,Sokół,true,2,Mikroelektronika w technice i medycynie,Poznań,Katedralna
216,Maks,Dubiel,false,2,Mikroelektronika w technice i medycynie,Kraków,Aleja Niepodległości
217,Olaf,Wieczorek,false,2,Mikroelektronika w technice i medycynie,Lublin,Starowiejska
218,Norbert,Wiśniewski,false,1,Elektrotechnika,Szczecin,Żytnia
219,Marcin,Chmiel,false,5,Automatyka i Robotyka,Kraków,Tadeusza Kościuszki
220,Weronika,Zakrzewski,false,4,Automatyka i Robotyka,Szczecin,Łąkowa
221,Oktawia,Konieczny,true,2,Mikroelektronika w technice i medycynie,Wrocław,Mikołaja Reja
222,Marzena,Kasprzyk,false,2,Informatyka,Lublin,Krakowskie Przedmieście
223,Oktawia,Bogucki,true,5,Elektrotechnika,Warszawa,Żytnia
224,Samanta,Frąckowiak,false,2,Inżynieria Biomedyczna,Gdańsk,Juliusza Słowackiego
225,Tadeusz,Mazurek,false,3,Inżynieria Biomedyczna,Warszawa,Towarowa
226,Wioletta,Czerwiński,false,4,Informatyka,Kielce,Szpitalna
227,Olaf,Andrzejewski,false,4,Mikroelektronika w technice i medycynie,Lublin,Jagiellońska
228,Patryk,Drzewiecki,false,1,Inżynieria Biomedyczna,Kraków,Mostowa
229,Berta,Pawelec,false,1,Automatyka i Robotyka,Warszawa,Gnieźnieńska
230,Paulina,Krupiński,false,2,Mikroelektronika w technice i medycynie,Poznań,Towarowa
231,Halina,Sobczak,false,1,Inżynieria Biomedyczna,Lublin,Chopina
232,Alicja,Urbaniak,false,1,Inżynieria Biomedyczna,Poznań,Aleja 29 Listopada
233,Przemysław,Pałka,true,1,Automatyka i Robotyka,Kraków,Targowa
234,Felicja,Tomczyk,false,5,Inżynieria Biomedyczna,Kraków,Aleja Wolności
235,Nina,Kubica,false,4,Inżynieria Biomedyczna,Kraków,Strzelecka
236,Czesława,Długosz,true,2,Inżynieria Biomedyczna,Gdańsk,Strzelecka
237,Izydor,Szymański,false,2,Inżynieria Biomedyczna,Lublin,Królowej Jadwigi
238,Krzysztof,Mika,false,2,Inżynieria Biomedyczna,Szczecin,Puławska
239,Klara,Banach,false,3,Mikroelektronika w technice i medycynie,Kraków,Józefa Dietla
240,Judyta,Milewski,false,3,Elektrotechnika,Gdańsk,Krucza
241,Leon,Cebula,false,1,Informatyka,Katowice,Janusza Korczaka
242,Berta,Piątkowski,false,5,Inżynieria Biomedyczna,Kraków,Ogrodowa
243,Krzysztof,Kubicki,false,3,Mikroelektronika w technice i medycynie,Warszawa,Francuska
244,Mikołaj,Laskowski,false,5,Automatyka i Robotyka,Szczecin,Senatorska
245,Olga,Sokół,false,1,Informatyka,Kraków,Franciszkańska
246,Cecylia,Graczyk,false,5,Mikroelektronika w technice i medycynie,Szczecin,11 Listopada
247,Alicja,Grzelak,false,2,Elektrotechnika,Szczecin,Henryka Dąbrowskiego
248,Bożena,Węgrzyn,true,5,Informatyka,Wrocław,Tadeusza Kościuszki
249,Bogdan,Krajewski,false,3,Informatyka,Gdańsk,Francuska
250,Andżelika,Żak,false,4,Automatyka i Robotyka,Kraków,Szeroka
251,Luiza,Mikołajczyk,false,1,Informatyka,Lublin,Fabryczna
252,Włodzimierz,Ratajczak,false,1,Inżynieria Biomedyczna,Gdańsk,Stefana Wyszyńskiego
253,Zenon,Rosiak,false,3,Mikroelektronika w technice i medycynie,Wrocław,Gliwicka
254,Ewelina,Piórkowski,false,1,Inżynieria Biomedyczna,Kraków,Juliusza Słowackiego
255,Hanna,Sienkiewicz,false,2,Elektrotechnika,Kraków,Szewska
256,Lech,Witczak,false,5,Mikroelektronika w technice i medycynie,Gdańsk,Lubelska
257,Juliusz,Świątek,true,1,Informatyka,Kraków,Jana III Sobieskiego
258,Maryla,Sadowski,true,5,Informatyka,Bydgoszcz,Targowa
259,Radosław,Malec,false,2,Elektrotechnika,Kielce,Chmielna
260,Barbara,Piwowarczyk,false,4,Automatyka i Robotyka,Szczecin,Jezuicka
261,Krystian,Bartosik,true,1,Informatyka,Bydgoszcz,Jana Kasprowicza
262,Maryla,Klimczak,false,2,Mikroelektronika w technice i medycynie,Katowice,Jana Kasprowicza
263,Fabian,Krawczyk,true,4,Informatyka,Wrocław,Katowicka
264,Halina,Twardowski,false,5,Automatyka i Robotyka,Lublin,Zwierzyniecka
265,Łukasz,Kasprzyk,false,5,Inżynieria Biomedyczna,Poznań,Targowa
266,Gabriela,Lisiecki,false,3,Automatyka i Robotyka,Bydgoszcz,Katowicka
267,Wilma,Matysiak,false,5,Informatyka,Wrocław,Franciszkańska
268,Monika,Górski,false,4,Informatyka,Warszawa,Mikołaja Kopernika
269,Filip,Czerwiński,false,3,Informatyka,Wrocław,Gabriela Narutowicza
270,Bogumiła,Węgrzyn,false,2,Automatyka i Robotyka,Kraków,Kazimierza Pułaskiego
271,Justyna,Słowiński,true,5,Elektrotechnika,Kraków,Poznańska
272,Aleksandra,Pietrzak,false,5,Informatyka,Kielce,11 Listopada
273,Bruno,Żurek,true,1,Informatyka,Lublin,Wincentego Witosa
274,Ludwik,Rybak,false,1,Mikroelektronika w technice i medycynie,Szczecin,Grodzka
275,Agnieszka,Pietrzak,true,4,Inżynieria Biomedyczna,Kraków,Szewska
276,Zuzanna,Kołodziejski,false,4,Automatyka i Robotyka,Gdańsk,Józefa Dietla
277,Urszula,Duda,true,1,Automatyka i Robotyka,Kraków,Wojska Polskiego
278,Faustyna,Kozioł,false,5,Elektrotechnika,Bydgoszcz,Bolesława Prusa
279,Bogdan,Ciszewski,false,1,Automatyka i Robotyka,Katowice,Andrzeja Struga
280,Maciej,Maciejewski,false,1,Elektrotechnika,Bydgoszcz,Szczecińska
281,Adam,Sobieraj,false,5,Mikroelektronika w technice i medycynie,Bydgoszcz,Wincentego Witosa
282,Maks,Sadowski,false,2,Automatyka i Robotyka,Kraków,Bolesława Prusa
283,Iwona,Głowacki,true,2,Elektrotechnika,Szczecin,Świętokrzyska
284,Hilary,Dudziak,false,2,Automatyka i Robotyka,Kraków,Brzeska
285,Waldemar,Konieczny,false,2,Elektrotechnika,Kraków,Szpitalna
286,Pola,Stępień,false,1,Inżynieria Biomedyczna,Lublin,Hrubieszowska
287,Alina,Kałuża,false,1,Automatyka i Robotyka,Kraków,Beskidzka
288,Weronika,Szczepanik,false,2,Inżynieria Biomedyczna,Bydgoszcz,Ignacego Paderewskiego
289,Łucja,Karaś,false,5,Mikroelektronika w technice i medycynie,Gdańsk,Młyńska
290,Wacław,Filipek,false,1,Elektrotechnika,Poznań,Obozowa
291,Gustaw,Piekarski,true,4,Informatyka,Katowice,Uniwersytecka
292,Monika,Grzesiak,false,2,Elektrotechnika,Wrocław,Świętojańska
293,Regina,Mróz,false,1,Elektrotechnika,Bydgoszcz,Grottgera
294,Denis,Madej,false,5,Informatyka,Warszawa,Hetmańska
295,Szczepan,Wilczyński,false,3,Mikroelektronika w technice i medycynie,Wrocław,Władysława Reymonta
296,Jadwiga,Sobczak,true,5,Informatyka,Poznań,Zdrowa
297,Barbara,Szczepański,true,3,Mikroelektronika w technice i medycynie,Wrocław,Chłodna
298,Bruno,Zawadzki,false,5,Elektrotechnika,Kraków,Żytnia
299,Ludwik,Kowalik,false,2,Mikroelektronika w technice i medycynie,Gdańsk,Starowiejska
300,Piotr,Kowalski,false,5,Elektrotechnika,Kraków,Kazimierza Pułaskiego
301,Zenobia,Staniszewski,false,2,Automatyka i Robotyka,Szczecin,Królewska
302,Henryk,Szczepański,true,1,Elektrotechnika,Poznań,Juliusza Słowackiego
303,Walentyna,Jurkiewicz,false,4,Automatyka i Robotyka,Poznań,Aleja Wolności
304,Tamara,Kowal,false,4,Elektrotechnika,Wrocław,Jacka Malczewskiego
305,Robert,Majewski,false,1,Informatyka,Katowice,Ogrodowa
306,Gabriel,Konopka,true,5,Informatyka,Warszawa,Puławska
307,Zbigniew,Gajewski,true,4,Inżynieria Biomedyczna,Poznań,Świętokrzyska
308,Kornel,Gruszczyński,false,5,Inżynieria Biomedyczna,Poznań,Młyńska
309,Halina,Olejniczak,false,3,Inżynieria Biomedyczna,Warszawa,Krupnicza
310,Zygmunt,Grzyb,false,2,Mikroelektronika w technice i medycynie,Szczecin,Andrzeja Struga
311,Tytus,Mika,false,1,Elektrotechnika,Kielce,Katedralna
312,Dagmara,Ciszewski,false,4,Automatyka i Robotyka,Poznań,Dworcowa
313,Józef,Walkowiak,false,2,Mikroelektronika w technice i medycynie,Szczecin,Karmelicka
314,Weronika,Milewski,false,3,Inżynieria Biomedyczna,Warszawa,Chopina
315,Edyta,Sieradzki,false,3,Mikroelektronika w technice i medycynie,Wrocław,Konstytucji 3 Maja
316,Ludwik,Drozdowski,false,2,Inżynieria Biomedyczna,Kraków,Chmielna
317,Krystian,Dębski,false,2,Automatyka i Robotyka,Kielce,Aleja 29 Listopada
318,Zenon,Marszałek,false,1,Inżynieria Biomedyczna,Kraków,Jana Kasprowicza
319,Mariola,Kuś,false,5,Inżynieria Biomedyczna,Kielce,Brzeska
320,Zdzisław,Kubicki,false,5,Inżynieria Biomedyczna,Gdańsk,Brzeska
321,Arkadiusz,Winiarski,false,4,Elektrotechnika,Szczecin,Dworcowa
322,Jakub,Kruk,true,5,Informatyka,Szczecin,Mikołaja Reja
323,Olaf,Borkowski,false,2,Informatyka,Kielce,Powstańców Śląskich
324,Iga,Kruk,false,3,Automatyka i Robotyka,Bydgoszcz,Pocztowa
325,Zuzanna,Filipiak,false,3,Mikroelektronika w technice i medycynie,Szczecin,Powstańców Śląskich
